filename,p/bar,Di,Df,Density,AVA,ASA,NAVA,NASA,UC_volume,Gamma_cage_window,DeltaD_cage_window,Eta_wall,Phi_accessible,hoa/kcal/mol,mmol/g,S(g1)
DB1-Uio66Zr-irmof6_A-irmof7_A_No122,0.15,6.35607,2.10665,1.56486,0.0,0.0,65.5921,151.959,2283.85,3.0171457052666555,4.24942,,0.0,8.628915,2.654151,233.159315
DB1-Uio66Zr-irmof12_A-irmof14_A_No7,0.015,8.99832,4.02347,0.879343,605.708,757.095,0.0,0.109359,4847.21,2.2364575851193127,4.97485,1.2499339615788467,0.12496013170463008,5.977696,0.14739,7.171665
DB1-Uio66Zr-irmof12_A-irmof14_A_No7,0.15,8.99832,4.02347,0.879343,605.708,757.095,0.0,0.109359,4847.21,2.2364575851193127,4.97485,1.2499339615788467,0.12496013170463008,6.313166,1.478715,55.702785
DB1-Uio66Zr-BDC_A-irmof6_A_No392,0.015,7.31796,1.14413,1.94443,0.0,0.0,74.7219,135.531,2235.84,6.396091353255311,6.173830000000001,,0.0,8.969748,1.216461,384.480505
DB1-Uio66Zr-BDC_A-irmof6_A_No392,0.15,7.31796,1.14413,1.94443,0.0,0.0,74.7219,135.531,2235.84,6.396091353255311,6.173830000000001,,0.0,8.819296,2.372493,236.524435
DB1-Uio66Zr-BDC_A-irmof6_A_No174,0.015,7.31796,2.70139,1.78315,0.0,0.0,81.5188,162.308,2235.84,2.7089609423296896,4.61657,,0.0,8.119061,1.358456,343.041605
DB1-Uio66Zr-BDC_A-irmof6_A_No174,0.15,7.31796,2.70139,1.78315,0.0,0.0,81.5188,162.308,2235.84,2.7089609423296896,4.61657,,0.0,11.161386,2.968998,261.63879
DB1-Uio66Zr-BDC_A-irmof6_A_No349,0.015,7.31796,3.52783,1.36214,0.0,0.0,106.605,212.662,2235.84,2.0743516552668355,3.7901300000000004,,0.0,7.125129,0.400317,103.745025
DB1-Uio66Zr-BDC_A-irmof6_A_No349,0.15,7.31796,3.52783,1.36214,0.0,0.0,106.605,212.662,2235.84,2.0743516552668355,3.7901300000000004,,0.0,8.200809,2.300704,139.26082
DB1-Uio66Zr-irmof10_A-irmof14_A_No527,0.015,10.06126,6.00548,1.04853,805.804,850.978,0.0,0.0,4791.32,1.6753465168479456,4.05578,1.0560607790480068,0.1681799587587554,6.605868,0.279454,15.784365
